TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Jan 15, 2019",134.25,135.99,133.25,134.63,589700
"Jan 14, 2019",133.5,134.9,133.5,134.25,1138000
"Jan 11, 2019",132.0,133.89,130.5,132.93,1420000
"Jan 10, 2019",132.0,133.25,131.65,132.02,529000
"Jan 9, 2019",131.0,132.0,130.6,131.46,1110900
"Jan 8, 2019",130.2,132.0,128.75,130.42,2399000
"Jan 7, 2019",126.0,130.0,126.0,129.6,1550900
"Jan 4, 2019",123.0,127.0,122.9,125.41,581000
"Jan 3, 2019",123.5,125.0,122.99,123.51,281500
"Jan 2, 2019",123.97,126.4,122.11,123.14,846500
"Jan 1, 2019",119.35,124.0,118.12,123.25,1191400
"Dec 31, 2018",119.06,124.0,117.5,120.45,2761000
"Dec 28, 2018",121.79,122.74,117.25,120.25,1909900
"Dec 27, 2018",126.0,126.39,119.04,122.56,715300
"Dec 26, 2018",124.5,126.8,124.0,125.3,705900
"Dec 24, 2018",124.4,125.0,122.15,124.39,373200
"Dec 21, 2018",125.0,127.0,120.8,124.59,3164400
"Dec 20, 2018",126.49,127.9,123.5,124.78,1377000
"Dec 19, 2018",125.49,126.5,124.4,125.48,476100
"Dec 18, 2018",127.51,128.0,124.85,125.04,1059000
"Dec 17, 2018",131.0,131.0,127.25,127.81,573000
"Dec 14, 2018",129.8,133.0,129.5,132.21,713700
"Dec 13, 2018",131.0,132.0,126.38,129.61,617900
"Dec 12, 2018",133.0,134.2,129.5,130.17,1385400
"Dec 11, 2018",137.0,137.0,133.62,133.99,258600
"Dec 10, 2018",134.0,138.0,133.5,136.99,1509000
"Dec 7, 2018",132.0,133.99,130.99,132.51,769300
"Dec 6, 2018",136.2,137.5,132.0,132.52,2431600
"Dec 5, 2018",138.75,138.75,133.51,136.02,2092800
"Dec 4, 2018",135.9,138.53,135.0,138.1,1331200
"Dec 3, 2018",141.51,141.9,132.87,134.41,3315000
"Nov 30, 2018",142.5,146.0,136.99,139.86,7556700
"Nov 29, 2018",141.5,143.25,139.98,142.61,1776000
"Nov 28, 2018",143.4,145.0,140.51,141.0,685500
"Nov 27, 2018",139.9,143.11,137.5,142.64,1512700
"Nov 26, 2018",137.0,140.0,137.0,138.78,812100
"Nov 23, 2018",135.15,137.75,132.48,136.65,1388900
"Nov 22, 2018",140.5,142.5,135.26,136.46,1263600
"Nov 20, 2018",143.99,143.99,141.16,142.11,222300
"Nov 19, 2018",144.0,145.5,141.55,142.33,630400
"Nov 16, 2018",146.5,148.5,144.0,144.89,1207400
"Nov 15, 2018",140.0,146.22,139.11,146.1,2684400
"Nov 14, 2018",137.0,142.9,135.99,139.26,1508600
"Nov 13, 2018",138.0,139.0,136.3,138.23,359000
"Nov 12, 2018",141.0,141.95,137.56,137.91,844100
"Nov 9, 2018",138.72,143.0,138.72,139.1,811300
"Nov 8, 2018",144.0,144.1,140.1,141.54,507800
"Nov 7, 2018",144.0,144.89,141.99,143.34,1095300
"Nov 6, 2018",145.42,145.9,138.15,141.89,1784500
"Nov 5, 2018",146.5,146.5,142.0,145.42,1032700
"Nov 2, 2018",144.2,150.1,144.2,147.14,2751900
"Nov 1, 2018",145.0,146.5,142.5,144.34,1427000
"Oct 31, 2018",145.1,147.49,141.76,145.65,1765700
"Oct 30, 2018",139.0,145.27,138.36,144.92,3609000
"Oct 29, 2018",135.1,138.36,134.5,138.36,3028700
"Oct 26, 2018",125.0,131.9,123.51,131.78,5299800
"Oct 25, 2018",133.0,136.99,124.79,125.62,8518600
"Oct 24, 2018",129.0,131.35,129.0,131.35,2804200
"Oct 23, 2018",128.25,128.5,125.0,125.1,1200800
"Oct 22, 2018",127.8,130.97,127.51,129.01,2559300
"Oct 19, 2018",126.61,128.5,125.5,127.1,1485800
"Oct 18, 2018",128.55,131.0,125.15,127.94,1309400
"Oct 17, 2018",129.49,130.5,128.0,129.72,1053900
"Oct 16, 2018",130.5,132.99,127.0,127.99,1213400
"Oct 15, 2018",131.25,133.99,126.51,130.18,2186800
"Oct 12, 2018",132.61,132.79,127.5,131.35,2528100
"Oct 11, 2018",138.49,138.49,133.05,133.87,439900
"Oct 10, 2018",137.79,139.48,134.51,137.88,2068600
"Oct 9, 2018",136.0,141.69,134.0,135.93,3460200
"Oct 8, 2018",140.51,142.0,134.95,134.95,1785300
"Oct 5, 2018",144.15,146.5,138.48,142.05,1167100
"Oct 4, 2018",148.99,148.99,144.02,144.87,219800
"Oct 3, 2018",149.56,149.98,148.0,148.18,81800
"Oct 2, 2018",152.79,152.79,148.51,149.05,381200
"Oct 1, 2018",152.5,152.99,150.13,151.81,459500
"Sep 28, 2018",148.0,152.0,146.5,151.37,1229500
"Sep 27, 2018",147.0,148.0,145.7,147.38,419500
"Sep 26, 2018",149.0,149.0,145.51,146.86,421000
"Sep 25, 2018",148.99,149.98,148.0,148.45,246300
"Sep 24, 2018",147.5,151.0,147.0,148.44,1171400
"Sep 19, 2018",146.0,148.99,143.5,146.67,1296900
"Sep 18, 2018",143.98,146.5,141.72,145.46,2683200
"Sep 17, 2018",144.69,144.69,141.35,143.24,938900
"Sep 14, 2018",148.5,148.5,142.06,144.69,4929900
"Sep 13, 2018",147.0,148.61,144.05,147.48,1252100
"Sep 12, 2018",148.49,148.49,145.8,146.5,325600
"Sep 11, 2018",148.89,149.99,146.2,147.11,308500
"Sep 10, 2018",151.21,152.5,147.05,148.1,958100
"Sep 7, 2018",154.9,154.9,151.25,151.89,379500
"Sep 6, 2018",152.72,154.8,151.82,154.09,656900
"Sep 5, 2018",152.3,152.89,150.4,152.28,974200
"Sep 4, 2018",151.7,152.65,151.1,152.0,241500
"Sep 3, 2018",151.5,152.0,150.51,151.42,348100
"Aug 31, 2018",151.75,152.8,150.5,151.03,1475100
"Aug 30, 2018",154.0,154.0,151.01,151.52,573400
"Aug 29, 2018",153.94,154.35,153.5,153.74,235900
"Aug 28, 2018",153.9,154.1,153.0,153.61,830400
